sku,date,total_sold_qty
Product 1,3/31/2026,1
Product 2,3/31/2026,1
Product 3,3/31/2026,2
Product 4,3/31/2026,1
Product 5,3/31/2026,2
Product 6,3/31/2026,2
Product 7,3/31/2026,1
Product 8,3/31/2026,1
Product 9,3/31/2026,2
Product 10,3/31/2026,1
Product 11,3/31/2026,2
Product 12,3/31/2026,1
Product 13,3/31/2026,1
Product 14,3/31/2026,1
Product 15,3/31/2026,1
Product 16,3/31/2026,1
Product 17,3/31/2026,1
Product 18,3/31/2026,1
Product 19,3/31/2026,1
Product 20,3/31/2026,1
Product 21,3/31/2026,1
Product 22,3/31/2026,1
Product 23,3/31/2026,1
Product 24,3/31/2026,1
Product 25,3/31/2026,1
Product 26,3/31/2026,1
Product 27,3/31/2026,2
Product 27,3/31/2026,1
Product 29,3/31/2026,1
Product 30,3/31/2026,1
Product 31,3/31/2026,1
Product 32,3/31/2026,1
Product 33,3/31/2026,3
Product 34,3/31/2026,1
Product 35,3/31/2026,1
Product 36,3/31/2026,1
Product 37,3/31/2026,1
Product 38,3/31/2026,1
Product 39,3/31/2026,1
Product 40,3/31/2026,1
Product 41,3/31/2026,1
Product 42,3/31/2026,1
Product 43,3/31/2026,1
Product 44,3/31/2026,1
Product 45,3/31/2026,1
Product 46,3/31/2026,2
Product 47,3/31/2026,1
Product 48,3/31/2026,1
Product 49,3/31/2026,1
Product 50,3/31/2026,1
Product 51,3/31/2026,1
Product 52,3/31/2026,1
Product 53,3/31/2026,1
Product 54,3/31/2026,3
Product 55,3/31/2026,1
Product 56,3/31/2026,1
Product 57,3/31/2026,1
Product 58,3/31/2026,1
Product 59,3/31/2026,1
Product 60,3/31/2026,4
Product 61,3/31/2026,1
Product 62,3/31/2026,2
Product 63,3/31/2026,1
Product 64,3/31/2026,1
Product 65,3/31/2026,5
Product 66,3/31/2026,1
Product 67,3/31/2026,2
Product 68,3/31/2026,1
Product 69,3/31/2026,1
Product 70,3/31/2026,1
Product 71,3/31/2026,1
Product 72,3/31/2026,1
Product 73,3/31/2026,1
Product 74,3/31/2026,1
Product 75,3/31/2026,1
Product 76,3/31/2026,1
Product 77,3/31/2026,1
Product 78,3/31/2026,1
Product 79,3/31/2026,1
Product 79,3/31/2026,3
Product 81,3/31/2026,4
Product 82,3/31/2026,1
Product 83,3/31/2026,1
Product 84,3/31/2026,1
Product 85,3/31/2026,1
Product 86,3/31/2026,1
Product 87,3/31/2026,1
Product 88,3/31/2026,1
Product 89,3/31/2026,1
Product 90,3/31/2026,1
Product 91,3/31/2026,1
Product 92,3/31/2026,1
Product 93,3/31/2026,1
Product 94,3/31/2026,1
Product 95,3/31/2026,1
Product 96,3/31/2026,2
Product 97,3/31/2026,1
