Posting Date,SKU,Quantity,Location Code
12/31/2025,880100023,4,17105S1
12/31/2025,1064674,3,17149S2
12/31/2025,18758,2,17149S2
12/31/2025,1309277,6,17149S2
12/31/2025,1309251,6,17149S2
12/31/2025,1000749,3,17149S2
12/31/2025,1486182,3,17149S2
12/31/2025,1397314,2,17149S2
12/31/2025,1201573,2,17149S2
12/31/2025,1107499,2,17149S2
12/31/2025,1000591,2,17149S2
12/31/2025,700100180,2,17149S2
12/31/2025,640100463,2,17149S2
12/31/2025,641000279,150,17149S2
12/30/2025,6206577,1,17105S1
12/30/2025,1340165,1,17105S1
12/30/2025,7196330,1,ELOCATION
12/30/2025,640001376,1,17149S2
12/30/2025,640001374,1,17149S2
12/30/2025,880100023,1,17105S1
12/30/2025,700100180,2,17105S1
12/30/2025,640100499,20,17105S1
12/30/2025,640100572,10,17105S1
12/30/2025,640100603,9,17105S1
12/30/2025,640100604,1,17105S1
12/30/2025,640100563,5,17105S1
12/30/2025,640100571,8,17105S1
12/30/2025,640100595,7,17105S1
12/30/2025,640100324,2,17105S1
12/30/2025,700100181,1,17105S1
12/30/2025,640100484,39,17105S1
12/30/2025,640100255,1,17105S1
12/30/2025,640100257,2,17105S1
12/30/2025,640100475,10,17105S1
12/30/2025,640100508,20,17105S1
12/30/2025,640100509,20,17105S1
12/30/2025,640100493,20,17105S1
12/30/2025,640100525,20,17105S1
12/30/2025,640100490,20,17105S1
12/30/2025,640100483,20,17105S1
12/30/2025,640100496,10,17105S1
12/29/2025,880100023,2,17105S1
12/28/2025,6260087,2,20221S3
12/27/2025,6305106,2,17105S1
12/27/2025,640000603,19,17105S1
12/27/2025,640000604,1,17105S1
12/27/2025,200000367,1,17149S2
12/26/2025,1072711,10,17105S05
12/26/2025,8997883,1,ELOCATION
12/26/2025,1010503,1,ELOCATION
12/26/2025,1072708,1,ELOCATION
12/26/2025,1072735,5,ELOCATION
12/26/2025,1072711,10,ELOCATION
12/26/2025,1072721,10,ELOCATION
12/26/2025,1025131,5,20221S3
12/26/2025,200000367,30,17149S2
12/26/2025,1585710,1,17149S2
12/26/2025,1833805,2,17149S2
12/26/2025,1381466,3,17149S2
12/26/2025,1462340,2,17149S2
12/26/2025,11957,1,17149S2
12/26/2025,18988,1,17149S2
12/26/2025,1024776,1,17149S2
12/26/2025,1504653,9,17149S2
12/26/2025,10264,5,17149S2
12/26/2025,1330133,11,17149S2
12/26/2025,1224286,5,17149S2
12/26/2025,1010651,13,17149S2
12/26/2025,1002088,2,17149S2
12/26/2025,1270164,3,17149S2
12/26/2025,1218676,1,17149S2
12/26/2025,10966,6,17149S2
12/26/2025,1537273,1,17149S2
12/26/2025,1066133,2,17149S2
12/26/2025,1386028,6,17149S2
12/26/2025,19763,1,17149S2
12/26/2025,1207414,4,17149S2
12/26/2025,1094671,4,17149S2
12/26/2025,12694,2,17149S2
12/26/2025,940000151,4,17149S2
12/26/2025,640001089,1,17149S2
12/25/2025,12973,1,ELOCATION
12/25/2025,1429687,2,17149S2
12/25/2025,1429703,3,17149S2
12/25/2025,1429729,9,17149S2
12/25/2025,640001936,1,17105S1
12/25/2025,1339688,1,ELOCATION
12/25/2025,8360430,2,ELOCATION
12/25/2025,1339688,1,ELOCATION
12/25/2025,83269,1,ELOCATION
12/25/2025,1309251,1,ELOCATION
12/25/2025,17685,2,ELOCATION
12/23/2025,5603063,4,17149S2
12/23/2025,800000254,1,17149S2
12/22/2025,940000407,1,ELOCATION
12/22/2025,6032789,2,17149S2
12/22/2025,6114136,2,17149S2
12/22/2025,1504554,5,17149S2
12/22/2025,560000000,27,17149S2
12/22/2025,401000097,2,17105S4
12/22/2025,4806287,2,17105S4
12/22/2025,4011273,1,17105S4
12/22/2025,101000302,6,17105S4
12/22/2025,640002039,4,17105S4
12/22/2025,8997878,1,ELOCATION
12/22/2025,840000017,2,ELOCATION
12/22/2025,1000949,3,ELOCATION
12/22/2025,200000073,2,ELOCATION
12/21/2025,13863,3,17105S4
12/18/2025,17435,3,17149S2
12/18/2025,942001867,4,17149S2
12/18/2025,942001866,4,17149S2
12/18/2025,942001865,4,17149S2
12/18/2025,942001864,4,17149S2
12/18/2025,44810,1,17105S4
12/18/2025,47842,2,17105S4
12/18/2025,79859,3,17105S4
12/18/2025,5045060,10,17105S4
12/18/2025,5045057,10,17105S4
12/18/2025,5045057,5,17105S4
12/17/2025,640001860,30,17149S2
12/17/2025,1396902,1,ELOCATION
12/17/2025,1419084,2,ELOCATION
12/17/2025,200000160,1,ELOCATION
12/17/2025,200000660,2,ELOCATION
12/17/2025,5369673,3,ELOCATION
12/17/2025,1367861,2,ELOCATION
12/17/2025,6502827,2,ELOCATION
12/17/2025,6108591,1,ELOCATION
12/17/2025,6594030,1,ELOCATION
12/17/2025,6204457,1,ELOCATION
12/17/2025,1895366,1,ELOCATION
12/16/2025,942000603,12,17105S05
12/14/2025,7031803,4,17149S2
12/14/2025,940000618,1,17105S05
12/13/2025,1435429,2,17149S2
