sku,date,total_sold_qty
Product 1,4/10/2021,1
Product 2,4/10/2021,1
Product 3,4/10/2021,2
Product 4,4/10/2021,1
Product 5,4/10/2021,1
Product 6,4/10/2021,1
Product 7,4/10/2021,1
Product 8,4/10/2021,1
Product 9,4/10/2021,1
Product 10,4/10/2021,1
Product 11,4/10/2021,1
Product 12,4/10/2021,1
Product 13,4/10/2021,2
Product 14,4/10/2021,1
Product 15,4/10/2021,1
Product 16,4/10/2021,1
Product 17,4/10/2021,1
Product 18,4/10/2021,1
Product 19,4/10/2021,1
Product 20,4/10/2021,1
Product 21,4/10/2021,2
Product 22,4/10/2021,2
Product 23,4/10/2021,1
Product 24,4/10/2021,2
Product 25,4/10/2021,1
Product 26,4/10/2021,1
Product 27,4/10/2021,1
Product 28,4/10/2021,1
Product 29,4/10/2021,1
Product 30,4/10/2021,1
Product 24,4/10/2021,1
Product 24,4/10/2021,2
Product 31,4/10/2021,1
Product 32,4/10/2021,1
Product 33,4/10/2021,1
Product 34,4/10/2021,1
Product 35,4/10/2021,1
Product 36,4/10/2021,1
Product 37,4/10/2021,1
Product 38,4/10/2021,1
Product 39,4/10/2021,1
Product 40,4/10/2021,2
Product 41,4/10/2021,1
Product 42,4/10/2021,1
Product 43,4/10/2021,3
Product 44,4/10/2021,1
Product 45,4/10/2021,3
Product 46,4/10/2021,2
Product 47,4/10/2021,1
Product 48,4/10/2021,1
Product 49,4/10/2021,1
Product 50,4/10/2021,1
Product 51,4/10/2021,1
Product 52,4/10/2021,1
Product 53,4/10/2021,2
Product 54,4/10/2021,1
Product 55,4/10/2021,1
Product 56,4/10/2021,1
Product 57,4/10/2021,1
Product 58,4/10/2021,1
Product 59,4/10/2021,1
Product 60,4/10/2021,1
Product 61,4/10/2021,1
Product 62,4/10/2021,1
Product 63,4/10/2021,1
Product 64,4/10/2021,2
Product 65,4/10/2021,1
Product 66,4/10/2021,1
Product 67,4/10/2021,1
Product 68,4/10/2021,1
Product 69,4/10/2021,1
Product 70,4/10/2021,1
Product 71,4/10/2021,1
Product 72,4/10/2021,1
Product 73,4/10/2021,1
Product 74,4/10/2021,1
Product 75,4/10/2021,1
Product 76,4/10/2021,1
Product 77,4/10/2021,2
Product 78,4/10/2021,1
Product 79,4/10/2021,1
Product 80,4/10/2021,2
Product 81,4/10/2021,2
Product 9,4/10/2021,2
Product 82,4/10/2021,6
Product 83,4/10/2021,1
Product 84,4/10/2021,1
Product 85,4/10/2021,8
Product 86,4/10/2021,3
Product 87,4/10/2021,1
Product 88,4/10/2021,1
Product 89,4/10/2021,1
Product 90,4/10/2021,1
Product 91,4/10/2021,1
Product 92,4/10/2021,1
Product 93,4/10/2021,2
Product 94,4/10/2021,1
Product 95,4/10/2021,1
Product 96,4/10/2021,1
Product 97,4/10/2021,1
Product 98,4/10/2021,1
Product 99,4/10/2021,1
Product 100,4/10/2021,1
Product 101,4/10/2021,1
Product 102,4/10/2021,1
Product 103,4/10/2021,1
Product 104,4/10/2021,1
Product 105,4/10/2021,1
Product 106,4/10/2021,1
Product 107,4/10/2021,1
Product 108,4/10/2021,1
Product 35,4/10/2021,1
Product 109,4/10/2021,2
Product 110,4/10/2021,1
Product 111,4/10/2021,1
Product 112,4/10/2021,1
Product 113,4/10/2021,1
Product 114,4/10/2021,1
Product 115,4/10/2021,1
Product 116,4/10/2021,1
Product 117,4/10/2021,1
Product 118,4/10/2021,1
Product 119,4/10/2021,1
Product 120,4/10/2021,1
Product 55,4/10/2021,1
Product 121,4/10/2021,1
Product 122,4/10/2021,3
Product 123,4/10/2021,1
Product 124,4/10/2021,2
Product 125,4/10/2021,1
Product 126,4/10/2021,2
Product 34,4/10/2021,1
Product 127,4/10/2021,2
Product 128,4/10/2021,3
Product 129,4/10/2021,1
Product 86,4/10/2021,1
Product 130,4/10/2021,4
Product 126,4/10/2021,1
Product 131,4/10/2021,1
Product 132,4/10/2021,2
Product 133,4/10/2021,1
Product 134,4/10/2021,1
Product 135,4/10/2021,1
Product 136,4/10/2021,1
Product 137,4/10/2021,1
Product 138,4/10/2021,1
Product 35,4/10/2021,1
Product 139,4/10/2021,1
