sku,date,total_sold_qty
Product 1,5/6/2026,1
Product 2,5/6/2026,1
Product 3,5/6/2026,1
Product 4,5/6/2026,1
Product 5,5/6/2026,1
Product 6,5/6/2026,1
Product 7,5/6/2026,1
Product 8,5/6/2026,1
Product 9,5/6/2026,3
Product 10,5/6/2026,1
Product 11,5/6/2026,1
Product 12,5/6/2026,1
Product 7,5/6/2026,1
Product 13,5/6/2026,1
Product 14,5/6/2026,1
Product 14,5/6/2026,1
Product 15,5/6/2026,1
Product 16,5/6/2026,2
Product 17,5/6/2026,3
Product 18,5/6/2026,1
Product 19,5/6/2026,1
Product 20,5/6/2026,3
Product 21,5/6/2026,4
Product 22,5/6/2026,4
Product 23,5/6/2026,1
Product 24,5/6/2026,1
Product 25,5/6/2026,1
Product 26,5/6/2026,1
Product 27,5/6/2026,1
Product 28,5/6/2026,1
Product 29,5/6/2026,1
Product 30,5/6/2026,2
Product 31,5/6/2026,1
Product 32,5/6/2026,1
Product 33,5/6/2026,1
Product 34,5/6/2026,1
Product 35,5/6/2026,1
Product 36,5/6/2026,1
Product 37,5/6/2026,2
Product 32,5/6/2026,1
Product 38,5/6/2026,1
Product 39,5/6/2026,1
Product 40,5/6/2026,1
Product 41,5/6/2026,1
Product 42,5/6/2026,1
Product 43,5/6/2026,1
Product 44,5/6/2026,1
Product 45,5/6/2026,1
Product 46,5/6/2026,1
Product 47,5/6/2026,1
Product 48,5/6/2026,2
Product 49,5/6/2026,1
Product 50,5/6/2026,1
Product 51,5/6/2026,1
Product 52,5/6/2026,1
Product 53,5/6/2026,1
Product 54,5/6/2026,1
Product 55,5/6/2026,1
Product 56,5/6/2026,2
Product 57,5/6/2026,1
Product 58,5/6/2026,1
Product 59,5/6/2026,1
Product 60,5/6/2026,1
Product 61,5/6/2026,1
Product 62,5/6/2026,1
Product 63,5/6/2026,2
Product 64,5/6/2026,1
Product 65,5/6/2026,1
Product 66,5/6/2026,2
Product 67,5/6/2026,2
Product 68,5/6/2026,1
Product 69,5/6/2026,1
Product 70,5/6/2026,1
Product 71,5/6/2026,1
Product 72,5/6/2026,2
Product 73,5/6/2026,2
Product 74,5/6/2026,1
Product 75,5/6/2026,1
Product 76,5/6/2026,1
Product 77,5/6/2026,1
Product 78,5/6/2026,1
Product 79,5/6/2026,1
Product 80,5/6/2026,2
Product 81,5/6/2026,1
Product 82,5/6/2026,1
Product 83,5/6/2026,1
Product 84,5/6/2026,1
Product 85,5/6/2026,1
Product 86,5/6/2026,1
Product 87,5/6/2026,2
Product 88,5/6/2026,1
Product 89,5/6/2026,1
Product 90,5/6/2026,1
Product 91,5/6/2026,1
Product 92,5/6/2026,1
Product 93,5/6/2026,1
Product 94,5/6/2026,1
Product 95,5/6/2026,1
Product 96,5/6/2026,1
Product 97,5/6/2026,1
Product 98,5/6/2026,1
Product 99,5/6/2026,1
Product 100,5/6/2026,1
Product 101,5/6/2026,1
Product 102,5/6/2026,1
Product 103,5/6/2026,1
Product 104,5/6/2026,1
Product 105,5/6/2026,1
Product 106,5/6/2026,1
Product 107,5/6/2026,1
Product 108,5/6/2026,1
Product 109,5/6/2026,1
Product 110,5/6/2026,1
Product 111,5/6/2026,1
Product 112,5/6/2026,1
Product 113,5/6/2026,1
Product 114,5/6/2026,1
Product 115,5/6/2026,1
Product 116,5/6/2026,1
Product 117,5/6/2026,1
Product 118,5/6/2026,1
Product 119,5/6/2026,1
Product 120,5/6/2026,1
Product 121,5/6/2026,1
Product 122,5/6/2026,1
Product 123,5/6/2026,1
Product 124,5/6/2026,1
Product 125,5/6/2026,1
Product 126,5/6/2026,1
Product 127,5/6/2026,1
Product 128,5/6/2026,1
Product 129,5/6/2026,1
Product 10,5/6/2026,1
Product 130,5/6/2026,1
Product 131,5/6/2026,2
Product 96,5/6/2026,1
Product 132,5/6/2026,1
Product 133,5/6/2026,1
Product 134,5/6/2026,1
Product 135,5/6/2026,1
Product 136,5/6/2026,2
Product 137,5/6/2026,1
Product 138,5/6/2026,1
Product 139,5/6/2026,2
Product 140,5/6/2026,1
Product 141,5/6/2026,1
Product 142,5/6/2026,1
Product 37,5/6/2026,1
Product 143,5/6/2026,1
Product 144,5/6/2026,1
Product 145,5/6/2026,1
Product 146,5/6/2026,1
Product 147,5/6/2026,1
Product 147,5/6/2026,1
Product 148,5/6/2026,1
Product 149,5/6/2026,1
Product 150,5/6/2026,1
Product 151,5/6/2026,1
Product 152,5/6/2026,1
Product 153,5/6/2026,2
Product 154,5/6/2026,1
Product 155,5/6/2026,1
Product 156,5/6/2026,1
Product 157,5/6/2026,1
Product 158,5/6/2026,1
Product 159,5/6/2026,1
Product 160,5/6/2026,1
Product 161,5/6/2026,1
Product 162,5/6/2026,1
Product 163,5/6/2026,2
Product 164,5/6/2026,1
Product 165,5/6/2026,1
Product 166,5/6/2026,2
Product 167,5/6/2026,1
Product 168,5/6/2026,1
Product 169,5/6/2026,1
Product 164,5/6/2026,1
Product 170,5/6/2026,1
Product 171,5/6/2026,1
Product 172,5/6/2026,1
Product 173,5/6/2026,1
Product 174,5/6/2026,1
Product 175,5/6/2026,1
Product 176,5/6/2026,1
Product 177,5/6/2026,3
Product 79,5/6/2026,1
Product 178,5/6/2026,1
Product 179,5/6/2026,1
Product 79,5/6/2026,2
Product 180,5/6/2026,1
Product 181,5/6/2026,1
Product 182,5/6/2026,1
Product 183,5/6/2026,1
Product 184,5/6/2026,2
Product 185,5/6/2026,1
Product 186,5/6/2026,1
Product 187,5/6/2026,1
Product 188,5/6/2026,1
Product 189,5/6/2026,1
Product 190,5/6/2026,1
Product 191,5/6/2026,1
Product 79,5/6/2026,2
Product 192,5/6/2026,1
Product 193,5/6/2026,1
Product 194,5/6/2026,1
Product 195,5/6/2026,1
Product 37,5/6/2026,2
Product 196,5/6/2026,1
Product 197,5/6/2026,1
Product 198,5/6/2026,1
Product 199,5/6/2026,2
Product 200,5/6/2026,1
Product 201,5/6/2026,1
Product 202,5/6/2026,1
Product 203,5/6/2026,1
Product 204,5/6/2026,1
Product 205,5/6/2026,1
Product 206,5/6/2026,2
Product 99,5/6/2026,2
Product 207,5/6/2026,2
Product 208,5/6/2026,1
Product 209,5/6/2026,2
Product 210,5/6/2026,1
Product 211,5/6/2026,2
Product 212,5/6/2026,3
Product 144,5/6/2026,1
Product 213,5/6/2026,4
Product 214,5/6/2026,1
Product 215,5/6/2026,1
Product 216,5/6/2026,1
Product 217,5/6/2026,1
Product 218,5/6/2026,1
Product 219,5/6/2026,1
Product 220,5/6/2026,1
Product 221,5/6/2026,1
Product 220,5/6/2026,1
Product 222,5/6/2026,2
Product 223,5/6/2026,1
Product 224,5/6/2026,1
Product 225,5/6/2026,1
Product 226,5/6/2026,1
Product 227,5/6/2026,1
Product 228,5/6/2026,1
Product 229,5/6/2026,1
Product 230,5/6/2026,1
Product 231,5/6/2026,1
Product 232,5/6/2026,1
Product 233,5/6/2026,1
Product 234,5/6/2026,1
Product 235,5/6/2026,1
Product 236,5/6/2026,1
Product 237,5/6/2026,1
Product 238,5/6/2026,1
Product 239,5/6/2026,1
Product 240,5/6/2026,1
Product 241,5/6/2026,1
Product 242,5/6/2026,1
Product 243,5/6/2026,4
Product 244,5/6/2026,1
Product 245,5/6/2026,1
Product 246,5/6/2026,1
Product 247,5/6/2026,1
Product 248,5/6/2026,10
Product 249,5/6/2026,2
Product 250,5/6/2026,1
Product 251,5/6/2026,1
Product 252,5/6/2026,1
Product 253,5/6/2026,1
Product 254,5/6/2026,1
Product 255,5/6/2026,1
Product 256,5/6/2026,1
Product 257,5/6/2026,1
Product 258,5/6/2026,2
Product 259,5/6/2026,1
Product 260,5/6/2026,1
Product 261,5/6/2026,1
Product 262,5/6/2026,1
Product 263,5/6/2026,9
Product 264,5/6/2026,1
Product 265,5/6/2026,3
Product 266,5/6/2026,2
Product 267,5/6/2026,1
Product 268,5/6/2026,1
Product 269,5/6/2026,1
Product 270,5/6/2026,1
Product 271,5/6/2026,1
